************************************************************************
68:
 |source:0.0.0.0 |destination:255.255.255.255 |source port:68 |destination port:67 |packet size:336 |service:undefined
 |source:0.0.0.0 |destination:255.255.255.255 |source port:68 |destination port:67 |packet size:336 |service:undefined
 |source:192.168.43.1 |destination:192.168.43.66 |source port:67 |destination port:68 |packet size:350 |service:undefined
 |source:0.0.0.0 |destination:255.255.255.255 |source port:68 |destination port:67 |packet size:336 |service:undefined
 |source:0.0.0.0 |destination:255.255.255.255 |source port:68 |destination port:67 |packet size:336 |service:undefined
 |source:192.168.43.1 |destination:192.168.43.66 |source port:67 |destination port:68 |packet size:350 |service:undefined
 |source:0.0.0.0 |destination:255.255.255.255 |source port:68 |destination port:67 |packet size:336 |service:undefined
 |source:0.0.0.0 |destination:255.255.255.255 |source port:68 |destination port:67 |packet size:336 |service:undefined
 |source:192.168.43.1 |destination:192.168.43.66 |source port:67 |destination port:68 |packet size:350 |service:undefined


************************************************************************
137:
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS
 |source:192.168.43.66 |destination:192.168.43.255 |source port:137 |destination port:137 |packet size:78 |service:NetBIOS


************************************************************************
1026:
 |source:192.168.43.66 |destination:35.83.51.89 |source port:1026 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:35.83.51.89 |source port:1026 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:35.83.51.89 |source port:1026 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:1.1.1.1 |source port:1026 |destination port:53 |packet size:52 |service:DNS
 |source:192.168.43.66 |destination:1.1.1.1 |source port:1026 |destination port:53 |packet size:52 |service:DNS
 |source:192.168.43.66 |destination:1.1.1.1 |source port:1026 |destination port:53 |packet size:52 |service:DNS
 |source:192.168.43.66 |destination:1.1.1.1 |source port:1026 |destination port:53 |packet size:52 |service:DNS


************************************************************************
1027:
 |source:192.168.43.66 |destination:8.8.8.8 |source port:1027 |destination port:53 |packet size:52 |service:DNS
 |source:192.168.43.66 |destination:8.8.8.8 |source port:1027 |destination port:53 |packet size:52 |service:DNS
 |source:192.168.43.66 |destination:8.8.8.8 |source port:1027 |destination port:53 |packet size:52 |service:DNS
 |source:192.168.43.66 |destination:8.8.8.8 |source port:1027 |destination port:53 |packet size:52 |service:DNS


************************************************************************
1029:
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:158 |service:HTTPS
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:457 |service:HTTPS
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:44.239.159.143 |source port:1029 |destination port:443 |packet size:40 |service:HTTPS


************************************************************************
1033:
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:557 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:133 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:1340 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:219 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:71 |service:HTTPS
 |source:192.168.43.66 |destination:40.77.226.250 |source port:1033 |destination port:443 |packet size:40 |service:HTTPS


************************************************************************
1040:
 |source:192.168.43.66 |destination:151.139.241.4 |source port:1040 |destination port:443 |packet size:40 |service:HTTPS
 |source:192.168.43.66 |destination:151.139.241.4 |source port:1040 |destination port:443 |packet size:40 |service:HTTPS


************************************************************************
3507:
 |source:192.168.43.66 |destination:35.162.166.85 |source port:3507 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:35.162.166.85 |source port:3507 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:35.162.166.85 |source port:3507 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:35.162.166.85 |source port:3507 |destination port:443 |packet size:52 |service:HTTPS
 |source:192.168.43.66 |destination:35.162.166.85 |source port:3507 |destination port:443 |packet size:52 |service:HTTPS


************************************************************************
5353:
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:398 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:60 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:60 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:154 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:154 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:60 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:60 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:154 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:154 |service:HTTPS
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:143 |service:HTTPS
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:143 |service:HTTPS
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:143 |service:HTTPS
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:398 |service:HTTPS
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:398 |service:HTTPS
 |source:192.168.43.1 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:398 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:56 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:59 |service:HTTPS
 |source:192.168.43.66 |destination:224.0.0.251 |source port:5353 |destination port:5353 |packet size:59 |service:HTTPS
